timestamp,symbol,side,size,price,tickDirection,trdMatchID,grossValue,homeNotional,foreignNotional
1723593603.6799,BTCUSDT,Buy,0.008,60565.90,PlusTick,c416253b-af6f-5e59-bfc8-9a17757ef201,4.845272e+10,0.008,484.5272
1723593603.6799,BTCUSDT,Buy,0.033,60565.90,ZeroPlusTick,135e2c14-7fac-5951-ab8f-b08bc3dac74d,1.9986747e+11,0.033,1998.6747
1723593603.6799,BTCUSDT,Buy,0.002,60565.90,ZeroPlusTick,00d57b14-f73d-5d01-9508-f1ac707afe2b,1.211318e+10,0.002,121.1318
1723593603.6801,BTCUSDT,Buy,0.031,60565.90,ZeroPlusTick,1e7a3e3c-1139-5bfb-8e21-633719f1f0f6,1.8775429e+11,0.031,1877.5429000000001
1723593603.6801,BTCUSDT,Buy,0.008,60565.90,ZeroPlusTick,7a917c14-779c-50cc-a5c2-9897463c8f9e,4.845272e+10,0.008,484.5272
1723593603.6801,BTCUSDT,Buy,0.033,60565.90,ZeroPlusTick,a9ae70d7-269e-562b-a251-2b6d95360027,1.9986747e+11,0.033,1998.6747
1723593603.6801,BTCUSDT,Buy,0.007,60565.90,ZeroPlusTick,634943ac-b82d-54a3-b8ad-8bc5a0cbfa3f,4.239613e+10,0.007,423.9613
1723593603.6968,BTCUSDT,Buy,0.024,60567.50,PlusTick,6e927f4d-c3f6-5b54-a3d2-7ccb790c9dd0,1.45362e+11,0.024,1453.6200000000001
1723593603.6968,BTCUSDT,Buy,0.033,60567.50,ZeroPlusTick,2d0fe9f8-ad47-51dd-8417-ee90f1d591c6,1.9987275000000003e+11,0.033,1998.7275000000002
1723593603.6968,BTCUSDT,Buy,0.033,60567.50,ZeroPlusTick,50a9d1f4-34e4-571a-86c8-d8e4d8d03f06,1.9987275000000003e+11,0.033,1998.7275000000002
1723593603.6968,BTCUSDT,Buy,0.033,60567.50,ZeroPlusTick,138aab9d-6beb-54c1-a02e-c59ba99b1fcf,1.9987275000000003e+11,0.033,1998.7275000000002
1723593603.6968,BTCUSDT,Buy,0.008,60567.50,ZeroPlusTick,48edabbb-3a4c-5f1d-85c4-978be2aabc77,4.8454e+10,0.008,484.54
1723593603.6968,BTCUSDT,Buy,0.008,60567.50,ZeroPlusTick,a71cb6e4-5cdc-5d81-b527-679e79bffc0d,4.8454e+10,0.008,484.54
1723593603.7038,BTCUSDT,Buy,0.007,60568.20,PlusTick,ff28ceba-d951-5a44-bbc1-c427c85c667e,4.239774e+10,0.007,423.9774
1723593603.7082,BTCUSDT,Buy,0.008,60568.20,ZeroPlusTick,3d28a7a6-7a1d-5896-8ab8-8f88bd7d1081,4.845456e+10,0.008,484.5456
1723593603.709,BTCUSDT,Buy,0.008,60568.20,ZeroPlusTick,e71e1a2c-0336-5bad-a3b4-4b6151341127,4.845456e+10,0.008,484.5456
1723593603.7128,BTCUSDT,Buy,0.008,60568.20,ZeroPlusTick,20730c3d-04b2-56cd-ae92-6aa7b3323d10,4.845456e+10,0.008,484.5456
